ratemyprof_id,first_name,last_name,num_of_ratings,overall_rating,tDept
2057476,Annahita,Ball,11,5.0,Social Work
2349646,Toni,Baller,0,0,Library Science
2186727,Aysegul,Balta,3,3.0,Sociology
2579938,Colleen,Balukas,4,4.8,Romance Languages & Lit
2048033,William,Banas,65,1.7,Engineering
1450524,Sarbajit,Banerjee,12,4.6,Chemistry
1450524,Sarbajit,Banerjee,12,4.6,Chemistry
1478664,Tracy,Bank,1,4.5,Geology
557876,David,Banks,16,2.8,Anthropology
1226399,Shiba,Banskota,2,3.5,Women's Studies
1160383,Bill,Barba,3,4.7,Education
2506726,Julieanne,Barber,1,5.0,Social Work
2506726,Julieanne,Barber,1,5.0,Social Work
1734137,Warren,Barbou,1,1.0,Not Specified
173329,Warren,Barbour,105,2.8,Anthropology
173329,Warren,Barbour,105,2.8,Anthropology
2661668,Jenifer,Barclay,1,5.0,History
1208467,R,Barker,7,3.4,History
1782997,Nathanielnathaniel,Barlow,5,4.9,Engineering
121651,George,Barnett,12,3.0,Communication
121651,George,Barnett,12,3.0,Communication
2574398,Jeremy,Baron,0,0,Physics
1936321,Ashley,Barr,13,4.8,Sociology
162091,Thomas,Barry,109,3.6,Classics
2667970,Elizabeth,Bartelt,9,4.7,Health Science
2572053,Katharina,Barth,0,0,Psychology
1058395,Mark,Bartholomew,6,4.0,Law
1058395,Mark,Bartholomew,6,4.0,Law
839764,Cemalettin,Basaran,19,1.8,Engineering
2039871,Timothy,Bascombe,0,0,Select department
1178370,Douglas,Basford,7,3.8,Writing
2529381,Caroline,Bass,7,3.1,Biology
2509453,Tiffany,Bassett,0,0,English
1575621,Daniel,Bassin,5,4.0,Music
2467582,Brooke,Bastie,3,4.7,English
1483190,Stella,Batalama,4,2.9,Electrical Engineering
1958606,Gage,Bateman,6,5.0,Chemistry
2506053,Sanchit,Batra,5,4.0,Computer Science
1289362,Paul,Battaglia,2,4.2,Law
1289362,Paul,Battaglia,2,4.2,Law
1035135,James,Battista,36,3.6,Political Science
1339652,Brenda,Battleson,13,3.8,Library Science
2022508,Paul,Bauman,4,3.1,Mech.  Aerospace Engineering
379671,William,Baumer,115,2.3,Philosophy
2150531,Tilman,Baumstark,20,2.5,Biology
382794,Ulrich,Baur,13,3.0,Physics
1121611,Alfonso,Bax,16,4.6,Law
816669,Sarah,Bay-Cheng,5,4.8,Theater
816669,Sarah,Bay-Cheng,5,4.8,Theater
1978329,Elizabeth,Bayan,1,5.0,Design
2420375,Javid,Bayandor,4,5.0,Mech. & Aerospace Engineering
393819,Perry,Beardsley,5,3.8,History
2024178,Paul,Beattie,3,4.8,English
2479611,Elisabeth,Beccue,7,2.0,Business
2479611,Elisabeth,Beccue,7,2.0,Business
2752032,Tessa,Bechtold,1,2.0,Psychology
2182926,Hanno,Beck,8,5.0,Linguistics
382039,Ben,Bedard,3,4.2,English
608249,James,Beebe,26,3.3,Philosophy
2630576,Rebecca,Begalle,0,0,Exercise & Nutrition Sciences
2461417,Bogdan,Beirowski,0,0,Biochemistry
2253347,Marissa,Bell,1,4.0,Geography
2253347,Marissa,Bell,1,4.0,Geography
2750275,Bello,Bello,3,5.0,Art
1572236,Lori,Bendersky,3,4.7,Health Science
1561589,Leah,Benedict,25,3.5,Writing
1561589,Leah,Benedict,25,3.5,Writing
2732834,Irina,Benedyk,2,3.5,Engineering
2474563,Bruce,Benet,4,2.0,Business
1763865,David,Benjamin,13,2.5,Economics
2000274,Joshua,Benn,5,2.8,Linguistics
421066,Sean,Bennett,43,3.9,Geography
421066,Sean,Bennett,43,3.9,Geography
421066,Sean,Bennett,43,3.9,Geography
896792,Michelle,Benson,28,3.8,Political Science
1903292,Jeffrey,Bentley,5,4.5,Business
1110208,Melanie,Bentley-Cruz,5,4.2,Learning Center
1632173,Ronald,Berezney,25,2.3,Biology
1540013,Steven,Berg,9,4.7,Psychology
968532,Robert,Berger,6,1.6,Law
968532,Robert,Berger,6,1.6,Law
1625085,Gersh,Berim,0,0,Not Specified
639624,Sheldon,Berlow,8,2.8,Not Specified
1707933,Carol,Berman,3,3.3,Anthropology
1707933,Carol,Berman,3,3.3,Anthropology
2048044,Elena,Bernal Mor,21,2.9,Electrical Engineering
905590,Torben,Berns,4,3.9,Architecture
2004073,Anya,Bernstein,6,4.8,Law
1201676,Ellen,Berrey,7,3.6,Sociology
201547,James O,Berry,28,2.9,Biology
2382757,Jordan,Besek,11,4.0,Sociology
2537639,Jennifer,Betts,3,4.0,Psychology
1726610,Megan,Beugger,4,2.6,Music
2322715,Brian,Beyer,18,4.4,Mathematics
1999543,Scott,Beymer,0,0,Psychology
1516181,Ram,Bezawada,36,3.8,Marketing
2574159,Rishabh,Bhandawat,1,3.0,Engineering
144667,Kushal,Bhardwaj,170,4.9,African-American Studies
2591763,Sandipa,Bhattacharjee,1,5.0,Economics
2591763,Sandipa,Bhattacharjee,1,5.0,Economics
1696411,Shayani,Bhattacharya,13,4.5,Writing
1980939,Govinda,Bhattarai,2,4.5,Political Science
39364,Sambit,Bhattarcharya,10,2.1,Computer Science
198258,Ling,Bian,10,3.6,Geography
2266806,Piero,Bianco,1,1.0,Biology
2607139,Benjamin,Bidell,2,5.0,Urban & Regional Planning
1055795,Peter,Biehl,4,3.5,Anthropology
1055795,Peter,Biehl,4,3.5,Anthropology
2766686,Joseph,Bieron,0,0,Social Work
2767230,Elliot,Biltekoff,0,0,Engineering
233987,Guyora,Binder,13,3.3,Law
468112,Gino,Biondini,22,4.1,Mathematics
1000809,Jonathon,Bird,6,4.6,Engineering
250465,Kay,Bishop,10,1.9,Library Science
1394485,Mary,Bisson,24,1.9,Biology
2125756,Tamal Tanu,Biswas,0,0,Computer Science
2125756,Tamal Tanu,Biswas,0,0,Computer Science
1276667,Amelia (gil),Bitely,8,4.1,English
2146281,Albert,Bitterman,17,1.7,Urban  Regional Planning
2423883,Alyson,Bittner,9,2.3,Mathematics
2423883,Alyson,Bittner,9,2.3,Mathematics
778827,Trevor,Bjorklund,13,4.7,Music
1978082,Dennis,Black,1,4.5,Education
1927455,Keith,Blackley,5,3.4,Political Science
371386,Sampson,Blair,117,4.8,Sociology
1151608,Javier,Blanco,1,4.0,Health Science
2281387,Kristina,Blanke,70,1.7,Biology
2299918,Ethan,Blanton,38,3.8,Computer Science
2299918,Ethan,Blanton,38,3.8,Computer Science
1751061,David,Blersch,0,0,Engineering
2542970,Jonathan,Bleuer,2,5.0,Urban & Regional Planning
2060623,Marwan,Bliety,0,0,Physical Education
513041,Clifford,Bloom,17,2.5,Mathematics
1693277,Gary,Bluestein,2,4.0,Law
1035828,Kenneth,Blumenthal,10,2.2,Biochemistry
2617933,Emmanuel,Boamah,1,5.0,Architecture
2213773,Miranda,Bobrowski,6,5.0,Psychology
2708089,Angela,Boccuzzi-Reichert,0,0,Library Science
1660629,Dave,Bock,0,0,Chemistry
760934,Jacob,Bodway,15,4.4,English
1879616,Marc,Bohlen,13,1.8,Art History
527352,Juergen,Bohnemeyer,18,2.8,Linguistics
2189945,Dana,Bojarski,4,3.8,Athletics
1468906,Nicole,Bojko,11,4.7,Languages
2685151,Janine,Boland,11,3.8,Psychology
1908337,Gary,Bolduc,3,5.0,Mathematics
1433524,Justin M,Bolton,3,2.6,Chemistry
2105066,Chris,Bomba,3,4.8,English
2286609,Nicolas,Bommarito,8,4.8,Philosophy
1889089,Nicholas,Bongiorno,1,4.0,Communication
267521,Barbara,Bono,23,4.0,English
267521,Barbara,Bono,23,4.0,English
1675104,Joseph,Boomer,46,3.1,Psychology
2622996,Goh,Boon Yeow,0,0,Psychology
1856292,Iman,Borazjani,4,2.3,Engineering
1899953,Tyler,Borden,1,1.5,Music
2401187,Agni,Bose,4,4.3,Economics
2756807,Christopher,Bosley,0,0,Sociology
2583094,Eleonora,Botta,2,2.5,Engineering
2020110,Michael,Boucai,6,4.0,Law
2082145,Brandon,Boudreault,1,4.5,English
851087,Michael,Bouquard,6,3.0,Film
2175151,Guillaume,Boutard,0,0,Library Science
1655674,Jeremiah,Bowen,4,2.6,English
948830,Julie,Bowker,49,5.0,Psychology
1964602,Erica,Boyce,5,4.6,Sociology
660478,Fenice,Boyd,9,3.0,Education
660478,Fenice,Boyd,9,3.0,Education
660478,Fenice,Boyd,9,3.0,Education
1196523,Barry,Boyer,5,1.7,Law
2526004,James,Boyle,10,4.3,Geology
1348013,M,Bozart,1,2.0,Psychology
231060,Michael,Bozarth,45,3.0,Psychology
2238341,Sarah,Bradley,1,5.0,Chemistry
416586,Trisha,Brady,24,4.5,English
1962560,Gudrun,Bragadottir ,2,5.0,English
598742,Carrie,Bramen,19,3.5,English
1929354,Susan,Bratcher,40,2.5,Geology
150398,Kaz,Braun,18,3.7,Theater
150398,Kaz,Braun,18,3.7,Theater
2184431,Bryan,Brauner,3,4.3,Business
2543133,Michael,Braunscheidel,20,3.0,Operations Management
1795870,Irus,Braverman,2,3.5,Law
832497,Lauren,Breen,7,3.0,Law
2660376,Francesca,Bremner,1,5.0,Asian American Studies
278829,Stephen,Breslin,24,3.3,English
499112,Elena,Brewer,21,3.3,Physics
838255,Regina,Brice,3,3.3,Not Specified
349196,Frank,Bright,2,5.0,Chemistry
2296928,Mindy,Brightman,8,4.5,Languages
608928,Jason,Briner,40,4.3,Geology
2452287,Craig,Brinkman,15,3.7,Psychology
787496,Sonya,Brockman,6,5.0,English
1213809,Victoria,Brockmeier,5,3.0,English
1669337,Galen,Brokaw,1,4.0,Languages
1412278,Robyn,Brouer,4,3.9,Business
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
1400731,Kate,Brown,9,3.4,English
964508,Christopher,Brown-Syed,18,3.8,Information Science
1120241,Richard,Browne,9,4.4,Biochemistry
205426,Alastair,Brownie,8,2.9,Medicine
1136157,Stanley,Bruckenstein,10,1.8,Chemistry
1496505,Kurt,Bruder,3,2.2,Communication
1529777,Jeremy,Bruenn,9,2.3,Biology
1664125,Michele,Bruneau,5,3.0,Engineering
2304304,Carolyn,Brunelle,2,1.0,Music
1629339,Nick,Bruscia,5,4.4,Architecture
1986536,Rebecca,Bryan,39,4.1,Political Science
1052049,Timothy,Bryant,8,4.6,English
2634686,Kaitlin,Bryson,0,0,Art
1800893,Michelle,Bubnik,6,2.2,Psychology
1462524,Michael,Buck,3,5.0,Biochemistry
1462524,Michael,Buck,3,5.0,Biochemistry
21245,Michael,Buckley,66,4.6,Computer Science
2658535,Alex,Buehler,1,1.0,Music
874919,David,Buell,6,4.8,Classics
1672377,Ahn,Bui,0,0,Mathematics
1672379,Anh Minh,Bui Boi,0,0,Mathematics
263020,Barbara,Bunker,6,4.8,Psychology
2202620,Alexia,Buono,5,5.0,Learning Center
1777328,John,Burdick,12,5.0,American Studies
2194664,Mathew,Burge,2,3.0,Mech.  Aerospace Engineering
2194664,Mathew,Burge,2,3.0,Mech.  Aerospace Engineering
2005292,Stephen ,Burgeson ,0,0,Hospitality
2443145,Christopher,Burgess,4,3.7,Communication
2443145,Christopher,Burgess,4,3.7,Communication
997986,Victoria,Burgess Palmisano,5,5.0,Psychology
2261003,Cynthia,Burhans,0,0,Athletics
2366804,Robert,Burkard,1,3.0,Health Science
203349,Tom,Burke,15,4.8,Theater
203349,Tom,Burke,15,4.8,Theater
203349,Tom,Burke,15,4.8,Theater
2049578,Sean,Burkholder,2,5.0,Architecture
255691,Thomas,Burkman,20,3.7,History
2666919,Dyan,Burlingame,0,0,Theater
1275171,Krishni,Burns,8,4.0,History
1275171,Krishni,Burns,8,4.0,History
2091765,Marcus,Bursik,2,3.0,Geology
836070,Harold,Burton,18,3.6,Science
898640,Jose,Buscaglia,4,4.9,Languages
92279,Robert,Busch,375,4.5,Mathematics
1332919,Jason,Bussard,1,4.0,Business
1938313,Jude,Butch,2,5.0,Classics
1333919,Kyle,Butler,1,4.5,Fine Arts
1333919,Kyle,Butler,1,4.5,Fine Arts
2050247,Jack,Buttcane,19,2.0,Mathematics
1332556,Akin C,Buyukeren,9,2.3,Economics
2755140,Nicole,Bycina,1,2.0,Social Work
1914349,Ashley,Byczkowski,17,4.7,Languages
2759977,Courtlin,Byrd,1,5.0,Media
2468701,Andrew,Byrne,35,4.4,Languages
1758096,Jennifer,Byrnes,2,2.5,Criminal Justice
1758096,Jennifer,Byrnes,2,2.5,Criminal Justice
2018707,Kathyrn,Caccavaio,6,1.9,English
275340,Susan,Cahn,27,4.2,History
948718,Carl,Calabrese,2,4.8,Design
948718,Carl,Calabrese,2,4.8,Design
984339,Eliza,Calder,14,3.4,Geology
383670,Maria Victoria,Calderon,10,4.7,Education
1465554,Christie,Callear,15,2.6,Mathematics
1042742,Diane,Calleri,4,5.0,Education
1042742,Diane,Calleri,4,5.0,Education
993333,Martin,Camacho,6,4.3,Geography
993333,Martin,Camacho,6,4.3,Geography
2365437,Claire,Cameron,2,4.5,Education
1636703,Olivia,Cammisa-Frost,0,0,History
1071351,Kristen,Campbell,17,3.9,Political Science
1071351,Kristen,Campbell,17,3.9,Political Science
2328019,Abigael,Candelas,1,1.0,Linguistics
1307202,Yang,Cao,7,1.7,Finance
1333859,Christopher,Caporlingua,2,2.8,Not Specified
1495099,Steven,Capp,2,3.0,Engineering
2082303,Vincent,Capps,6,3.2,English
2116120,Lisa,Caprio,4,1.5,Social Work
1472901,Nathanael D,Carbrey,3,4.8,Accounting
1725650,Harry,Cardin,3,2.0,Business
2008051,Allison,Cardon,3,3.5,English
1622039,ED,Cardoni,1,1.0,Fine Arts
2365007,Shannon,Carlin-Menter,0,0,Psychology
1418147,Charles,Carman,23,2.2,Art History
2060000,Steven,Carmina,1,5.0,Business
2237958,Joelle,Carota,9,3.9,Languages
1930811,Douglas,Carpenter,6,1.3,Communication
568527,Charles,Carr,8,2.6,Law
568527,Charles,Carr,8,2.6,Law
1469665,Hayden,Carruth,1,5.0,Social Work
1481841,Caleb,Carswell,5,4.4,Mathematics
145507,Brian,Carter,5,1.7,Architecture
145507,Brian,Carter,5,1.7,Architecture
145507,Brian,Carter,5,1.7,Architecture
145507,Brian,Carter,5,1.7,Architecture
279359,Alexander,Cartwright,13,3.2,Engineering
910300,Gary,Casarella,4,3.1,Theater
379925,Irene,Casas,16,2.7,Geography
1466365,Michael,Casper,89,4.3,Mathematics
2537266,Simone,Cassani,18,3.7,Mathematics
2412894,Cari,Casteel,35,5.0,History
2501665,David,Castillo,1,4.0,Humanities
2778856,Nichol,Castro,1,3.0,Communicative Disorders
2244366,Sabrina,Casucci,11,3.4,Engineering
2756962,Timothy,Cauller,0,0,English
156812,Stephen,Cavior,46,3.3,Mathematics
1834149,Lora,Cavuoto,7,5.0,Engineering
2617938,Nicholas,Ceccarelli,0,0,Computer Science
2672788,Jon,Cegielski,1,2.0,Computer Science
1877127,Matthew,Celestino,2,3.5,Geology
1880439,Cem,Celik,7,5.0,Mech. & Aerospace Engineering
2451695,Robert,Cenczyk,0,0,Education
506929,Craig,Centrie,26,4.5,Ethnic Studies
2770966,Ashley,Cercone,0,0,Art History
411752,John,Cerne,50,3.5,Physics
1419857,Joshua,Cerretti,5,4.7,Women's Studies
907503,Renee,Cerullo,4,3.5,Management
2338387,Werner,Ceusters,6,1.7,Philosophy
1702253,Melissa,Chabon,2,3.0,Nutrition
439488,Melissa,Chabot,49,4.0,Health Science
1939209,Heewon,Chae,7,4.8,Languages
1297777,Debananda,Chakraborty,20,3.7,Mathematics
1297777,Debananda,Chakraborty,20,3.7,Mathematics
1297777,Debananda,Chakraborty,20,3.7,Mathematics
1626392,Geoffrey,Challen,34,3.5,Computer Science
2177511,Matthew,Chamberlain,3,2.7,Music
2694905,Samantha,Chambers,2,2.5,Social Work
2694905,Samantha,Chambers,2,2.5,Social Work
1640997,Angela,Chan,1,3.0,Hospitality
1879727,Varun,Chandola,24,4.6,Computer Science
905925,Winston,Chang,18,3.9,Economics
905925,Winston,Chang,18,3.9,Economics
1553096,Aaron,Chapnick,3,4.0,Classics
227291,Jan,Charles-Luce,11,4.6,Communicative Disorders
2775720,Payton,Charlton,0,0,Psychology
1978961,Twisha,Chatterjee,5,4.1,Economics
1978961,Twisha,Chatterjee,5,4.1,Economics
1944976,Somnath ,Chattopadhyay,10,1.8,Mech.  Aerospace Engineering
2013943,Vipin ,Chaudhary,1,1.5,Computer Science
1492434,Patricia,Chaudron,4,2.9,English
2655976,Mihir,Chauhan,0,0,Computer Science amp Engineering
2229916,Estelle,Chaussard,25,4.8,Geology
1271133,Rui,Chaves,16,4.3,Linguistics
1827594,Carlos R.,Chavez,1,5.0,Languages
2737191,Abigail,Cheesman,0,0,Psychology
551814,Sherry,Chemler,22,2.3,Chemistry
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
503262,Millie,Chen,8,3.6,Fine Arts
92249,Ping Chin,Cheng,18,3.2,Engineering
92249,Ping Chin,Cheng,18,3.2,Engineering
1488978,Younhwan,Cheon,1,2.0,Mathematics
2716981,Alexandr,Chernyavskiy,4,2.3,Mathematics
784048,Monica,Cherry,241,2.7,Economics
2760690,Tom,Cheuk,0,0,Mathematics
2606187,Timothy,Chevral,0,0,Anthropology
1870170,Luis,Chiesa,13,4.3,Law
1870170,Luis,Chiesa,13,4.3,Law
2291097,Alexandru,Chirvasitu,6,1.3,Mathematics
1914043,Chia-Yen,Chiu,2,4.8,Business
398511,Kah Kyung,Cho,20,2.7,Philosophy
398511,Kah Kyung,Cho,20,2.7,Philosophy
398511,Kah Kyung,Cho,20,2.7,Philosophy
1492431,S,Choi,5,3.8,English
1492431,S,Choi,5,3.8,English
1492431,S,Choi,5,3.8,English
1492431,S,Choi,5,3.8,English
1492431,S,Choi,5,3.8,English
1492431,S,Choi,5,3.8,English
1492431,S,Choi,5,3.8,English
1422723,Jan,Chomicki,7,2.1,Computer Science
654805,Harsh,Chopra,14,4.2,Engineering
218941,Ching,Chou,41,2.5,Mathematics
1854075,Manita,Choudhary,17,4.6,Geography
1272795,Justin,Chouinard,5,4.2,Not Specified
2297228,Souma,Chowdhury,16,2.2,Mech. amp Aerospace Engineering
261732,Diane,Christian,33,3.7,English
2749409,Alan,Christie,0,0,Management
2016434,Young ,Chu,0,0,Management
2016434,Young ,Chu,0,0,Management
2594985,Cheng,Chuang,2,3.0,Computer Science
1431458,Chung Joo,Chung,3,4.0,Communication
1431458,Chung Joo,Chung,3,4.0,Communication
1431458,Chung Joo,Chung,3,4.0,Communication
1431458,Chung Joo,Chung,3,4.0,Communication
1431458,Chung Joo,Chung,3,4.0,Communication
689766,Melvyn,Churchill,117,3.0,Chemistry
2034872,Frank,Ciccia,0,0,Management
1656969,Dianna,Cichocki,111,4.5,Business
1257856,Marta,Cieslak,4,4.2,History
1970056,Michael,Cimasi,18,4.0,Sociology
859804,Theresa,Cinotti,4,4.9,Communication
1708581,Thomas,Cirillo,5,4.2,Religion
1273661,Nathan,Claes,2,5.0,Communication
800360,Joseph,Clare,7,5.0,Political Science
915619,Prentiss,Clark,8,4.1,English
915619,Prentiss,Clark,8,4.1,English
915619,Prentiss,Clark,8,4.1,English
1285606,John,Clarke,1,4.0,English
1285606,John,Clarke,1,4.0,English
2020201,Peter,Clavin,5,3.8,American Studies
2355214,Aimee,Clawson,1,4.0,Education
1361071,K P,Cleary,10,4.2,Computer Science
1733221,David,Clem,1,4.5,Music
2081072,Brendan,Cline,3,3.9,Philosophy
1879289,Elizabeth,Clizbe,142,2.4,Chemistry
173335,Lewis,Coburn,69,1.9,Mathematics
2501832,Frank,Codella,0,0,Business
2429546,Jennifer,Coe,1,5.0,Education
2305777,Igor,Coelho,3,4.0,Music
373677,Corinne,Coen,7,4.1,Business
2645273,Neil,Coffee,0,0,Classics
263011,Mary-Alice,Coffroth,8,4.4,Biology
745,Ann,Cohen,39,3.5,Accounting
745,Ann,Cohen,39,3.5,Accounting
745,Ann,Cohen,39,3.5,Accounting
278512,Craig,Colder,8,3.2,Psychology
2724010,Taylor,Coleman,0,0,Transnational Studies
